kf, X_kfre
0, 0.436311
 1, 0.256371
 2, 0.231118
 3, 0.240328
 4, 0.247689
 5, 0.219557
 6, 0.185951
 7, 0.226317
 8, 0.221002
 9, 0.216352
 10, 0.180846
 11, 0.212104
 12, 0.204676
 13, 0.202035
 14, 0.186822
 15, 0.187042
 
